AddressID,Street,City,State,ZIP
1,123 Fake St.,Portland,OR,97214
2,821 SE 29th Ave.,Portland,OR,97214
3,420 69th St.,Beaverton,OR,97005
4,9000 N. Hamster St.,Eugene,OR,98001
5,8735 SW Southeast St.,Portland,OR,97240
6,5560 Frog Ct.,Portland,OR,97215
7,451 Bird Lane,Vancouver,WA,98230
8,456 Fake Ave.,Portland,OR,97215
9,742 Evergreen Terrace,Springfield,OR,97300
10,4 Ocean Ave.,Cannon Beach,OR,97110
11,221B Baker St.,London,WA,98301
12,2632 58th St. SW,Everett,WA,98203
13,703 West South Street,Portland,OR,97213
14,4069 Filbert St.,Beaverton,OR,96505
